iter	Passed	Remaining
225	1433	4364
226	1438	4353
227	1442	4340
228	1447	4331
229	1452	4320
230	1457	4309
231	1462	4298
232	1467	4288
233	1472	4277
234	1476	4266
235	1482	4258
236	1487	4247
237	1491	4237
238	1496	4226
239	1501	4215
240	1506	4206
241	1510	4195
242	1515	4184
243	1520	4174
244	1524	4164
245	1529	4153
246	1534	4143
247	1539	4132
248	1543	4122
249	1548	4112
250	1553	4103
251	1558	4093
252	1562	4083
253	1567	4074
254	1572	4064
255	1577	4054
256	1583	4047
257	1588	4038
258	1593	4029
259	1597	4019
260	1602	4009
261	1607	4000
262	1612	3991
263	1617	3981
264	1622	3973
265	1627	3963
266	1631	3954
267	1637	3946
268	1642	3937
269	1647	3929
270	1653	3922
271	1657	3912
272	1662	3904
273	1667	3895
274	1672	3886
275	1677	3877
276	1682	3870
277	1687	3861
278	1692	3853
279	1697	3843
280	1702	3834
281	1707	3826
282	1711	3816
283	1716	3807
284	1721	3800
285	1726	3790
286	1731	3781
287	1736	3773
288	1740	3764
289	1745	3755
290	1750	3747
291	1754	3737
292	1759	3728
293	1764	3720
294	1769	3712
295	1774	3703
296	1778	3695
297	1783	3687
298	1788	3678
299	1793	3670
300	1799	3664
301	1803	3655
302	1808	3646
303	1813	3638
304	1817	3629
305	1822	3621
306	1827	3612
307	1832	3604
308	1837	3596
309	1841	3588
310	1847	3581
311	1852	3574
312	1857	3566
313	1862	3558
314	1867	3551
315	1872	3543
316	1877	3535
317	1883	3529
318	1887	3521
319	1893	3514
320	1898	3508
321	1903	3500
322	1908	3492
323	1913	3484
324	1918	3476
325	1923	3469
326	1928	3461
327	1932	3452
328	1937	3445
329	1942	3437
330	1946	3429
331	1951	3421
332	1956	3414
333	1961	3405
334	1965	3397
335	1970	3390
336	1975	3382
337	1980	3375
338	1985	3367
339	1989	3359
340	1994	3351
341	2000	3345
342	2005	3337
343	2010	3331
344	2015	3323
345	2019	3315
346	2025	3309
347	2030	3302
348	2034	3294
349	2040	3287
350	2044	3280
351	2049	3272
352	2055	3266
353	2060	3259
354	2065	3251
355	2070	3245
356	2075	3238
357	2080	3230
358	2085	3224
359	2090	3216
360	2094	3208
361	2100	3202
362	2106	3197
363	2113	3192
364	2118	3186
365	2123	3179
366	2128	3172
367	2133	3164
368	2137	3157
369	2142	3150
370	2147	3143
371	2152	3136
372	2157	3128
373	2161	3121
374	2166	3113
375	2171	3107
376	2176	3099
377	2180	3092
378	2185	3085
379	2190	3078
380	2195	3071
381	2200	3064
382	2205	3058
383	2211	3051
384	2215	3044
385	2220	3037
386	2226	3031
387	2231	3025
388	2236	3018
389	2242	3012
390	2246	3005
391	2252	2999
392	2258	2993
393	2265	2989
394	2271	2985
395	2277	2978
396	2285	2975
397	2290	2969
398	2295	2962
399	2302	2959
400	2308	2953
401	2314	2947
402	2322	2944
403	2328	2939
404	2333	2932
405	2338	2926
406	2345	2921
407	2351	2915
408	2356	2909
409	2363	2905
410	2369	2899
411	2375	2894
412	2380	2887
413	2386	2882
414	2392	2876
415	2397	2869
416	2402	2863
417	2407	2856
418	2412	2849
419	2418	2844
420	2424	2839
421	2430	2834
422	2436	2828
423	2442	2822
424	2447	2816
425	2454	2811
426	2463	2809
427	2467	2802
428	2472	2795
429	2477	2788
430	2482	2782
431	2489	2777
432	2494	2771
433	2500	2765
434	2506	2759
435	2510	2752
436	2515	2745
437	2521	2740
438	2525	2733
439	2532	2728
440	2537	2722
441	2543	2716
442	2548	2710
443	2553	2703
444	2559	2697
445	2564	2690
446	2569	2684
447	2575	2679
448	2581	2673
449	2587	2667
450	2591	2660
451	2596	2653
452	2602	2648
453	2607	2642
454	2612	2635
455	2619	2630
456	2624	2624
457	2630	2618
458	2635	2612
459	2639	2605
460	2644	2598
461	2650	2592
462	2655	2586
463	2662	2582
464	2667	2575
465	2672	2569
466	2677	2562
467	2682	2556
468	2687	2550
469	2692	2543
470	2697	2537
471	2703	2531
472	2708	2525
473	2713	2518
474	2718	2512
475	2724	2507
476	2729	2500
477	2734	2493
478	2739	2487
479	2745	2482
480	2750	2475
481	2755	2469
482	2761	2464
483	2766	2458
484	2771	2451
485	2777	2445
486	2781	2439
487	2786	2432
488	2791	2425
489	2795	2419
490	2800	2412
491	2806	2406
492	2811	2400
493	2815	2393
494	2821	2388
495	2826	2381
496	2831	2375
497	2836	2369
498	2841	2363
499	2846	2356
500	2851	2350
501	2856	2344
502	2861	2337
503	2865	2331
504	2870	2324
505	2875	2318
506	2880	2312
507	2885	2306
508	2891	2300
509	2896	2294
510	2900	2287
511	2906	2281
512	2910	2275
513	2915	2268
514	2921	2263
515	2925	2256
516	2930	2250
517	2935	2244
518	2940	2238
519	2945	2231
520	2950	2225
521	2955	2219
522	2960	2213
523	2965	2207
524	2970	2200
525	2975	2194
526	2979	2188
527	2984	2181
528	2989	2175
529	2994	2169
530	2999	2163
531	3004	2157
532	3009	2151
533	3014	2145
534	3021	2140
535	3028	2135
536	3034	2130
537	3041	2125
538	3046	2119
539	3052	2114
540	3058	2108
541	3064	2102
542	3069	2097
543	3075	2092
544	3081	2086
545	3087	2080
546	3093	2075
547	3098	2069
548	3104	2064
549	3110	2058
550	3115	2052
551	3121	2047
552	3127	2041
553	3132	2035
554	3138	2029
555	3142	2023
556	3148	2018
557	3154	2012
558	3158	2005
559	3164	2000
560	3170	1994
561	3175	1988
562	3180	1982
563	3185	1976
564	3191	1971
565	3197	1965
566	3201	1959
567	3207	1953
568	3212	1947
569	3217	1941
570	3223	1936
571	3228	1930
572	3233	1924
573	3240	1919
574	3245	1913
575	3252	1908
576	3260	1904
577	3288	1911
578	3300	1909
579	3311	1906
580	3323	1904
581	3347	1909
582	3357	1906
583	3369	1904
584	3377	1899
585	3387	1896
586	3397	1892
587	3403	1887
588	3412	1882
589	3418	1877
590	3428	1873
591	3434	1868
592	3440	1862
593	3446	1856
594	3451	1850
595	3456	1844
596	3460	1837
597	3466	1831
598	3472	1825
599	3478	1820
600	3484	1814
601	3488	1808
602	3493	1801
603	3499	1796
604	3504	1789
605	3509	1783
606	3514	1777
607	3518	1770
608	3523	1764
609	3528	1758
610	3533	1752
611	3538	1745
612	3544	1740
613	3549	1734
614	3555	1728
615	3561	1722
616	3566	1716
617	3571	1710
618	3578	1705
619	3584	1699
620	3590	1693
621	3595	1688
622	3601	1682
623	3606	1676
624	3612	1670
625	3618	1664
626	3625	1659
627	3633	1654
628	3649	1653
629	3662	1650
630	3672	1646
631	3682	1643
632	3694	1640
633	3703	1635
634	3715	1632
635	3736	1633
636	3749	1630
637	3771	1631
638	3790	1631
639	3804	1628
640	3820	1627
641	3850	1631
642	3877	1634
643	3893	1632
644	3905	1628
645	3916	1624
646	3926	1620
647	3945	1619
648	3956	1615
649	3968	1611
650	3981	1608
651	4008	1610
652	4017	1605
653	4029	1601
654	4039	1597
655	4053	1594
656	4069	1591
657	4088	1590
658	4103	1587
659	4116	1584
660	4132	1581
661	4140	1576
662	4147	1570
663	4157	1565
664	4164	1559
665	4175	1554
666	4185	1549
667	4195	1545
668	4203	1539
669	4214	1534
670	4225	1530
671	4250	1530
672	4267	1528
673	4286	1526
674	4298	1522
675	4309	1517
676	4318	1511
677	4334	1508
678	4350	1505
679	4362	1501
680	4373	1496
681	4383	1491
682	4395	1486
683	4410	1483
684	4425	1479
685	4435	1474
686	4448	1469
687	4464	1466
688	4475	1461
689	4487	1456
690	4499	1452
691	4509	1446
692	4516	1440
693	4522	1433
694	4529	1427
695	4536	1420
696	4542	1414
697	4548	1407
698	4555	1401
699	4562	1394
700	4570	1388
701	4576	1382
702	4583	1375
703	4590	1369
704	4598	1363
705	4605	1356
706	4611	1350
707	4616	1343
708	4623	1336
709	4629	1330
710	4634	1323
711	4641	1316
712	4647	1310
713	4653	1303
714	4660	1297
715	4667	1290
716	4672	1283
717	4678	1277
718	4684	1270
719	4689	1263
720	4695	1257
721	4702	1250
722	4707	1243
723	4714	1237
724	4719	1230
725	4725	1223
726	4730	1216
727	4735	1209
728	4741	1203
729	4746	1196
730	4751	1189
731	4756	1182
732	4762	1175
733	4767	1169
734	4773	1162
735	4778	1155
736	4783	1148
737	4788	1141
738	4792	1134
739	4798	1128
740	4803	1121
741	4808	1114
742	4813	1107
743	4818	1101
744	4824	1094
745	4829	1087
746	4834	1080
747	4839	1073
748	4844	1067
749	4849	1060
750	4854	1053
751	4859	1046
752	4864	1040
753	4869	1033
754	4874	1026
755	4878	1019
756	4883	1012
757	4888	1006
758	4892	999
759	4897	992
760	4902	985
761	4907	978
762	4911	972
763	4916	965
764	4921	958
765	4926	951
766	4930	945
767	4935	938
768	4941	931
769	4946	925
770	4951	918
771	4956	911
772	4961	905
773	4966	898
774	4971	891
775	4976	885
776	4981	878
777	4986	871
778	4990	864
779	4995	858
780	5000	851
781	5005	844
782	5010	838
783	5016	831
784	5020	825
785	5025	818
786	5031	811
787	5035	805
788	5040	798
789	5046	792
790	5050	785
791	5055	778
792	5061	772
793	5066	765
794	5071	759
795	5075	752
796	5080	745
797	5085	739
798	5090	732
799	5095	726
800	5100	719
801	5105	712
802	5109	706
803	5114	699
804	5119	693
805	5124	686
806	5129	680
807	5134	673
808	5139	667
809	5145	660
810	5150	654
811	5155	647
812	5160	641
813	5166	634
814	5171	628
815	5176	621
816	5181	615
817	5185	608
818	5190	602
819	5195	595
820	5200	589
821	5205	582
822	5210	576
823	5214	569
824	5219	563
825	5224	556
826	5229	550
827	5234	543
828	5239	537
829	5244	530
830	5250	524
831	5255	517
832	5260	511
833	5265	505
834	5270	498
835	5275	492
836	5280	485
837	5286	479
838	5291	473
839	5296	466
840	5300	460
841	5306	453
842	5310	447
843	5315	440
844	5320	434
845	5325	428
846	5330	421
847	5335	415
848	5340	408
849	5346	402
850	5352	396
851	5357	389
852	5363	383
853	5367	377
854	5372	370
855	5377	364
856	5382	357
857	5387	351
858	5392	345
859	5397	338
860	5401	332
861	5407	326
862	5413	319
863	5418	313
864	5424	307
865	5430	301
866	5435	294
867	5440	288
868	5445	281
869	5451	275
870	5456	269
871	5463	263
872	5470	256
873	5476	250
874	5482	244
875	5489	238
876	5497	231
877	5502	225
878	5508	219
879	5514	213
880	5519	206
881	5525	200
882	5531	194
883	5537	187
884	5542	181
885	5549	175
886	5554	169
887	5559	162
888	5564	156
889	5570	150
890	5578	144
891	5584	137
892	5590	131
893	5595	125
894	5600	118
895	5608	112
896	5614	106
897	5619	100
898	5624	93
899	5629	87
900	5635	81
901	5640	75
902	5646	68
903	5653	62
904	5659	56
905	5665	50
906	5669	43
907	5674	37
908	5680	31
909	5685	24
910	5692	18
911	5698	12
912	5705	6
913	5710	0
