iter	Logloss
181	0.2181962705
182	0.2179612319
183	0.2176890364
184	0.2174829787
185	0.2172805658
186	0.2169352975
187	0.2165623881
188	0.2163083376
189	0.2160102741
190	0.2157880809
191	0.2155766447
192	0.2151325736
193	0.2149419224
194	0.2147688844
195	0.2144554143
196	0.2142114707
197	0.2140574052
198	0.2135536583
199	0.2131436313
200	0.2126133465
201	0.2124307139
202	0.2122613403
203	0.2120731125
204	0.2117198651
205	0.2115900521
206	0.211478857
207	0.2113249885
208	0.2110177638
209	0.2108305407
210	0.2104823566
211	0.2102105945
212	0.2097040106
213	0.2094908013
214	0.2092290673
215	0.2089274772
216	0.2086688362
217	0.2084920944
218	0.2082166678
219	0.207934326
220	0.2077189101
221	0.2074225606
222	0.2070654912
223	0.2068411111
224	0.2067367524
225	0.2064978721
226	0.2060813239
227	0.205895933
228	0.2055953477
229	0.2053393271
230	0.205198107
231	0.2049428547
232	0.2046389792
233	0.2043257652
234	0.2041291446
235	0.203848438
236	0.2037532011
237	0.2035765971
238	0.2033958755
239	0.2032239408
240	0.2028436236
241	0.2025355517
242	0.2022895394
243	0.2020356269
244	0.2019262049
245	0.2015225612
246	0.2012650039
247	0.2009862083
248	0.2006876129
249	0.2004130532
250	0.2001326224
251	0.1998704747
252	0.199676691
253	0.1994398793
254	0.1991981226
255	0.1989765007
256	0.1987469786
257	0.1985052021
258	0.1983609086
259	0.1980979333
260	0.1979965496
261	0.1978091689
262	0.1976083321
263	0.1974398648
264	0.1970911882
265	0.1969434271
266	0.1967290751
267	0.1964417883
268	0.1961917372
269	0.1960462222
270	0.1959306927
271	0.1958386081
272	0.1952488248
273	0.1948852736
274	0.1947812695
275	0.1945650853
276	0.1942376469
277	0.1940940034
278	0.1937549411
279	0.1935427563
280	0.1933096879
281	0.1930259867
282	0.1929100239
283	0.1927598001
284	0.1925624505
285	0.1924709569
286	0.192222876
287	0.1920969048
288	0.1918586352
289	0.1916694814
290	0.191548731
291	0.1913482292
292	0.191133424
293	0.1907843337
294	0.1906596037
295	0.1905056958
296	0.1904609734
297	0.1902294221
298	0.1900247632
299	0.1898235324
300	0.18962768
301	0.1894332659
302	0.1891935975
303	0.1887906433
304	0.1886488716
305	0.1884320766
306	0.1881901819
307	0.1880260687
308	0.187695872
309	0.1875311874
310	0.1873228247
311	0.18696676
312	0.1867582987
313	0.1866756314
314	0.1863079231
315	0.1862153656
316	0.1860749532
317	0.1859132435
318	0.1857560455
319	0.1855905729
320	0.185344994
321	0.185166085
322	0.1850414732
323	0.18485096
324	0.1846693715
325	0.1845275209
326	0.1842208675
327	0.1841067566
328	0.1838672458
329	0.1835579524
330	0.1834179144
331	0.1831963713
332	0.1830074539
333	0.1828461974
334	0.1826301905
335	0.1822961717
336	0.182004255
337	0.1818127765
338	0.1816856429
339	0.1815105165
340	0.1812551854
341	0.181101514
342	0.1810049767
343	0.1808262844
344	0.1807251962
345	0.1804437607
346	0.1802352206
347	0.1800232722
348	0.1799046496
349	0.1798383936
350	0.1796369263
351	0.1795235641
352	0.1792669327
353	0.1791521716
354	0.1789809856
355	0.1786944277
356	0.178486656
357	0.1783164944
358	0.1780537949
359	0.1778958089
360	0.1777037983
361	0.1775003609
362	0.1772611063
363	0.1770640916
364	0.1768715294
365	0.1765294725
366	0.1764519275
367	0.1762941384
368	0.1761809928
369	0.1760885338
370	0.1759817322
371	0.1754944163
372	0.1750726669
373	0.1749044163
374	0.1747250148
375	0.1744659995
376	0.1743418014
377	0.1741812148
378	0.1740423785
379	0.1738701088
380	0.1737507376
381	0.1736410201
382	0.1734944018
383	0.1733372038
384	0.1731331359
385	0.1729129523
386	0.1728084163
387	0.1727114062
388	0.1725619312
389	0.17241088
390	0.1721931591
391	0.1718713158
392	0.1717241261
393	0.171609503
394	0.1713299785
395	0.1712257577
396	0.1710922015
397	0.1709343336
398	0.1707733332
399	0.1706571339
400	0.1704051915
401	0.1703442942
402	0.1701140037
403	0.1699808218
404	0.1697471033
405	0.1697161719
406	0.1695965643
407	0.1694138529
408	0.1692426077
409	0.1690932705
410	0.1689311077
411	0.1687490267
412	0.1686247105
413	0.1684192832
414	0.1682852738
415	0.1680777779
416	0.167902691
417	0.1678098773
418	0.1676714942
419	0.1674470945
420	0.1672084702
421	0.1670519027
422	0.1668910204
423	0.1667744074
424	0.1666123431
425	0.1664248245
426	0.1660442315
427	0.1659467487
428	0.1657857088
429	0.1655516751
430	0.1652166319
431	0.1651305561
432	0.1648903065
433	0.1646869086
434	0.1644469742
435	0.1643259973
436	0.1642067443
437	0.1639437198
438	0.1638084101
439	0.1635602701
440	0.163420301
441	0.1631692353
442	0.1630801059
443	0.1629672263
444	0.1627990348
445	0.1625988974
446	0.1624863232
447	0.16235257
448	0.1621828615
449	0.1620099614
450	0.1618243538
451	0.1617299641
452	0.1615114551
453	0.1614332993
454	0.1613219466
455	0.1610811158
456	0.1608765555
457	0.1607874851
458	0.1606992225
459	0.1604267118
460	0.1604057297
461	0.1603008785
462	0.1601019232
463	0.1599319685
464	0.1598022441
465	0.1594745988
466	0.159387804
467	0.1591548932
468	0.1588924302
469	0.1587830082
470	0.1585196488
471	0.1583460001
472	0.1582218217
473	0.1581471531
474	0.158010681
475	0.1577690425
476	0.1576324818
477	0.1575193461
478	0.1572884448
479	0.1572014234
480	0.1571113582
481	0.1568752754
482	0.1565395722
483	0.1562778579
484	0.1560077015
485	0.1557822083
486	0.1556456574
487	0.1555579267
488	0.1553977538
489	0.1552881348
490	0.1551307496
491	0.1549932038
492	0.1548792111
493	0.1547524124
494	0.1545444338
495	0.1544648497
496	0.1542782374
497	0.1541639098
498	0.15386362
499	0.153784952
500	0.1536214298
501	0.1534308673
502	0.1531895834
503	0.1530224263
504	0.1529347744
505	0.1527512848
506	0.1526586583
507	0.1524285747
508	0.1523123853
509	0.1521332595
510	0.1519583991
511	0.1519271821
512	0.1518107267
513	0.1516932074
514	0.1515827905
515	0.1514134663
516	0.1512307745
517	0.1511351633
518	0.1509775515
519	0.1508426161
520	0.1506787295
521	0.1505232257
522	0.1503589253
523	0.150269323
524	0.1500582415
525	0.1498933008
526	0.1497792293
527	0.1496577303
528	0.1495966163
529	0.1494267502
530	0.1492852937
531	0.1491324989
532	0.1490056215
533	0.1488885849
534	0.1487943823
535	0.148651389
536	0.148476174
537	0.1483904923
538	0.1482864094
539	0.1481038359
540	0.1479621429
541	0.1477832634
542	0.1476708665
543	0.1475314097
544	0.147464799
545	0.1472585443
546	0.1471599581
547	0.1470675484
548	0.1470448424
549	0.1468397403
550	0.1467822612
551	0.1466752527
552	0.1466020125
553	0.1464433664
554	0.1463736133
555	0.1462149574
556	0.1459559225
557	0.1458309757
558	0.1456750386
559	0.1455346853
560	0.1452187919
561	0.1451496201
562	0.1450687258
563	0.1449220681
564	0.1448261909
565	0.1447567136
566	0.1446074848
567	0.1444676142
568	0.1444108839
569	0.1442595076
570	0.1441666841
571	0.1441024376
572	0.1439618775
573	0.1439334286
574	0.1438089941
575	0.1435705472
576	0.143463056
577	0.1432710848
578	0.1431946628
579	0.1429440109
580	0.142843819
581	0.1427511335
582	0.1425509764
583	0.1424930935
584	0.1424612953
585	0.1423616157
586	0.1423169131
587	0.1421892968
588	0.1420869082
589	0.1419703051
590	0.1418138655
591	0.1416447777
592	0.1414856193
593	0.1414257072
594	0.1412465124
595	0.1411914173
596	0.1410997069
597	0.1409998796
598	0.1409131636
599	0.1408052882
600	0.1407344811
601	0.140599989
602	0.1404716635
603	0.1403774313
604	0.1402561294
605	0.1401803575
606	0.1399784962
607	0.1397933024
608	0.1396187277
609	0.1395340803
610	0.1394277712
611	0.1393861124
612	0.139323245
613	0.1391287915
614	0.1389407705
615	0.1387123418
616	0.1386016688
617	0.1385321522
618	0.1381849926
619	0.1380661434
620	0.1379184809
621	0.1378367592
622	0.1377509298
623	0.1376308197
624	0.1374483546
625	0.1371751346
626	0.1369863748
627	0.1368784698
628	0.1367478688
629	0.1366387029
630	0.1365837063
631	0.1364013396
632	0.1362573908
633	0.1358834766
634	0.1356816449
635	0.1356400354
636	0.135554137
637	0.135464052
638	0.1353815521
639	0.1351874729
640	0.1351025891
641	0.1350380963
642	0.1348810855
643	0.1347384567
644	0.1346718953
645	0.1344819041
646	0.1343836332
647	0.1342273808
648	0.1341522788
649	0.1340805852
650	0.134013482
651	0.1338650018
652	0.1336379818
653	0.1334742724
654	0.1334082922
655	0.1333678451
656	0.1332998947
657	0.1330621767
658	0.1329732147
659	0.132849391
660	0.1327627144
661	0.132627651
662	0.1324828845
663	0.132281171
664	0.1321785461
665	0.1320504767
666	0.131942286
667	0.1318245106
668	0.1317623919
669	0.1316816356
670	0.1315734745
671	0.1314963235
672	0.1314208866
673	0.13133355
674	0.1312843948
675	0.1311991663
676	0.1311304475
677	0.1310614825
678	0.1309126576
679	0.1308188885
680	0.1306837265
681	0.1305252184
682	0.1304743787
683	0.1303879188
684	0.1303281248
685	0.1302265835
686	0.1301456104
687	0.1300912245
688	0.1300354398
689	0.1299874766
690	0.1298920722
691	0.1297533344
692	0.1296655348
693	0.1293995748
694	0.1292982994
695	0.1292406431
696	0.1291463715
697	0.1289374177
698	0.128832271
699	0.1286860861
700	0.1286184805
701	0.1285021728
702	0.12836179
703	0.1283079262
704	0.1281330658
705	0.1279964164
706	0.1279488373
707	0.1278740702
708	0.1277947324
709	0.1277435382
710	0.1276141389
711	0.1274574038
712	0.1273671317
713	0.1272767414
714	0.1271155242
715	0.1269178101
716	0.1268294392
717	0.126773487
718	0.1267252972
719	0.1265997791
720	0.126512738
721	0.1264627357
722	0.1264165948
723	0.1263274063
724	0.1260614364
725	0.1260156305
726	0.1259733118
727	0.1258304367
728	0.1257190446
729	0.1255964423
730	0.1254776917
731	0.1254358359
732	0.1252168245
733	0.1250059695
734	0.1249270061
735	0.1247289373
736	0.1246130434
737	0.1245501366
738	0.1243529249
739	0.1242819799
740	0.1241736908
741	0.124109198
742	0.1240137345
743	0.1239223493
744	0.1237598121
745	0.1236600045
746	0.1235937977
747	0.1235293345
748	0.1234776871
749	0.1234214197
750	0.1233146771
751	0.1232596312
752	0.1231213269
753	0.122913299
754	0.1228155403
755	0.1226966617
756	0.122443153
757	0.1223453647
758	0.1222902597
759	0.1221834974
760	0.1220517439
761	0.1219685544
762	0.1218184292
763	0.1216829225
764	0.1215876856
765	0.1214999845
766	0.1214225281
767	0.1213158939
768	0.1211828006
769	0.1210180372
770	0.1209813137
771	0.120897346
772	0.1207523629
773	0.1206631744
774	0.1206093401
775	0.1205303963
776	0.1205014253
777	0.1204932098
778	0.1203531225
779	0.1202073119
780	0.1201614764
781	0.1201159463
782	0.1199771888
783	0.1198825233
784	0.1197417366
785	0.1196227791
786	0.1195717227
787	0.1194769784
788	0.1193470964
789	0.1192583216
790	0.1191714381
791	0.1191168059
792	0.1190186433
793	0.1188663214
794	0.1188385916
795	0.1187777633
796	0.1186773843
797	0.1185841964
798	0.1185234272
799	0.1183921957
800	0.1183515417
801	0.1182681257
802	0.1182227335
803	0.1181592553
804	0.1181164834
805	0.1180253444
806	0.1178911873
807	0.1178108545
808	0.1176722153
809	0.1175612468
810	0.11747524
811	0.117367335
812	0.1173123482
813	0.1172761763
814	0.1172139985
815	0.1171395269
816	0.1170663557
817	0.1169594161
818	0.1167517232
819	0.1166442122
820	0.1165787837
821	0.1165064103
822	0.1164350811
823	0.116396683
824	0.1163335496
825	0.1162634419
826	0.11620087
827	0.1160639842
828	0.1159955413
829	0.1158997331
830	0.1158624185
831	0.1157741165
832	0.1157506914
833	0.1157427616
834	0.1156495638
835	0.1155663743
836	0.1153914942
837	0.1152658382
838	0.1151880273
839	0.1150719955
840	0.1149330607
841	0.1147998591
842	0.1146081342
843	0.1144777696
844	0.1143589007
845	0.1143298805
846	0.1142698402
847	0.1142068152
848	0.1140938963
849	0.1140068355
850	0.1138920153
851	0.1138264192
852	0.1137537799
853	0.1136832881
854	0.1136228735
855	0.1134974342
856	0.1133866036
857	0.1133393299
858	0.1132345181
859	0.113174734
860	0.1131358334
861	0.1131238845
862	0.1130195357
863	0.1129171176
864	0.1128449806
865	0.1128080305
866	0.112761141
867	0.1127015047
868	0.1126549796
869	0.1124217733
870	0.1123484839
871	0.1122817353
872	0.1121616745
873	0.1120995262
874	0.1120551487
875	0.1119188145
876	0.1118196176
877	0.1117280452
878	0.1116505199
879	0.111594745
880	0.1115381427
881	0.1114702711
882	0.111389436
883	0.1113532247
884	0.1112479794
885	0.1111580718
886	0.1110785271
887	0.1110462561
888	0.1109515314
889	0.1108838765
890	0.1107692041
891	0.1106963579
892	0.1106518819
893	0.1106076422
894	0.1105597676
895	0.1104817301
896	0.1103971222
897	0.1102856709
898	0.1102033877
899	0.1101499475
900	0.1100164602
901	0.1098855045
902	0.1098096341
903	0.1097307692
904	0.1095141219
905	0.1093594851
906	0.1092907664
907	0.1091846444
908	0.1090978791
909	0.1090626135
910	0.1090107592
911	0.1089318844
912	0.1088731838
913	0.1087773756
